team,player,category,NO,YDS,AVG,TB,In 20,LONG
ATL,Bradley Pinion,punting,3,137,45.7,0,3,54
BAL,Jordan Stout,punting,6,303,50.5,0,5,63
BUF,Sam Martin,punting,3,136,45.3,1,1,54
CHI,Trenton Gill,punting,1,39,39.0,0,0,39
CIN,Drue Chrisman,punting,1,40,40.0,0,1,40
CLE,Corey Bojorquez,punting,6,311,51.8,0,4,67
DAL,Bryan Anger,punting,4,198,49.5,1,1,60
DEN,Corliss Waitman,punting,7,288,41.1,0,2,46
GB,Pat O'Donnell,punting,3,134,44.7,0,0,52
HOU,Cameron Johnston,punting,7,354,50.6,1,2,64
IND,Matt Haack,punting,3,119,39.7,0,1,40
JAX,Logan Cooke,punting,3,137,45.7,0,1,54
KC,Tommy Townsend,punting,1,55,55.0,0,0,55
LAC,JK Scott,punting,3,137,45.7,0,1,48
LAR,Riley Dixon,punting,3,164,54.7,0,2,60
LV,AJ Cole,punting,4,181,45.3,1,2,60
MIA,Thomas Morstead,punting,4,206,51.5,0,0,63
MIN,Ryan Wright,punting,6,292,48.7,0,2,63
NE,Michael Palardy,punting,6,251,41.8,0,2,50
NO,Blake Gillikin,punting,6,262,43.7,0,3,62
NYG,Jamie Gillan,punting,7,324,46.3,0,3,59
NYJ,Braden Mann,punting,2,81,40.5,0,1,44
PHI,Arryn Siposs,punting,5,215,43.0,0,1,48
PIT,Pressley Harvin III,punting,2,85,42.5,0,1,47
SEA,Michael Dickson,punting,2,114,57.0,0,0,62
SF,Mitch Wishnowsky,punting,4,178,44.5,0,2,56
TB,Jake Camarda,punting,5,247,49.4,2,1,66
TEN,Ryan Stonehouse,punting,7,401,57.3,0,1,62
WSH,Tress Way,punting,6,265,44.2,0,4,53
