team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ATL,Younghoe Koo,kicking,100.0,51,10,3,3,1,1
BAL,Justin Tucker,kicking,100.0,26,4,1,1,1,1
BUF,Tyler Bass,kicking,100.0,48,6,1,1,3,3
CHI,Cairo Santos,kicking,67.0,40,7,2,3,1,2
CIN,Evan McPherson,kicking,100.0,41,9,2,2,3,3
CLE,Cade York,kicking,100.0,43,9,2,2,3,3
DAL,Brett Maher,kicking,0.0,0,6,0,0,6,7
DEN,Brandon McManus,kicking,75.0,52,9,3,4,0,0
DET,Michael Badgley,kicking,100.0,47,16,4,4,4,4
GB,Mason Crosby,kicking,100.0,32,8,2,2,2,2
HOU,Ka'imi Fairbairn,kicking,100.0,44,6,2,2,0,0
IND,Chase McLaughlin,kicking,100.0,52,7,2,2,1,1
JAX,Riley Patterson,kicking,100.0,42,6,2,2,0,0
KC,Harrison Butker,kicking,50.0,26,6,1,2,3,3
LAC,Cameron Dicker,kicking,67.0,37,8,2,3,2,2
LAR,Matt Gay,kicking,100.0,54,11,3,3,2,2
LV,Daniel Carlson,kicking,67.0,55,9,2,3,3,3
MIA,Jason Sanders,kicking,100.0,43,5,1,1,2,2
MIN,Greg Joseph,kicking,100.0,51,9,2,2,3,3
NE,Nick Folk,kicking,50.0,39,4,1,2,1,1
NO,Wil Lutz,kicking,100.0,38,10,3,3,1,1
NYG,Graham Gano,kicking,67.0,48,8,2,3,2,2
NYJ,Greg Zuerlein,kicking,100.0,60,16,5,5,1,1
PHI,Jake Elliott,kicking,0.0,0,5,0,0,5,5
PIT,Matthew Wright,kicking,100.0,48,13,4,4,1,1
SEA,Jason Myers,kicking,100.0,41,9,2,2,3,3
SF,Robbie Gould,kicking,100.0,48,15,4,4,3,3
TB,Ryan Succop,kicking,100.0,21,5,1,1,2,2
TEN,Randy Bullock,kicking,100.0,36,4,1,1,1,1
WSH,Joey Slye,kicking,67.0,42,8,2,3,2,2
