week,opponent,result
1,TEN,WIN
2,CAR,WIN
3,GB,LOSS
4,TB,LOSS
5,NE,WIN
6,HOU,LOSS
7,JAX,LOSS
8,IND,WIN
9,CHI,WIN
10,MIN,LOSS
11,BYE,BYE
12,ATL,LOSS
13,DET,LOSS
14,CAR,WIN
15,NYG,WIN
16,LAR,LOSS
17,TB,WIN
18,ATL,WIN
