week,opponent,result
1,CHI,LOSS
2,SEA,WIN
3,DEN,LOSS
4,LAR,WIN
5,CAR,WIN
6,ATL,LOSS
7,KC,LOSS
8,LAR,WIN
9,BYE,BYE
10,LAC,WIN
11,ARI,WIN
12,NO,WIN
13,MIA,WIN
14,TB,WIN
15,SEA,WIN
16,WSH,WIN
17,LV,WIN
18,ARI,WIN
