team,player,category,CAR,YDS,AVG,TD,LONG
LV,Alec Ingold,rushing,2,1,0.5,0,1
LV,Bryan Edwards,rushing,1,0,0.0,0,0
LV,Dallin Leavitt,rushing,2,6,3.0,0,4
LV,DeSean Jackson,rushing,1,4,4.0,0,4
LV,Derek Carr,rushing,40,108,2.94,0,22
LV,Henry Ruggs III,rushing,3,16,5.33,0,7
LV,Hunter Renfrow,rushing,3,3,1.0,0,5
LV,Jalen Richard,rushing,9,40,4.4,0,23
LV,Josh Jacobs,rushing,217,872,3.87,9,28
LV,Kenyan Drake,rushing,63,254,3.89,2,21
LV,Marcus Mariota,rushing,13,87,8.16,1,31
LV,Nathan Peterman,rushing,2,2,1.0,0,1
LV,Peyton Barber,rushing,55,212,3.62,2,27
LV,Trey Ragas,rushing,1,9,9.0,0,9
LV,Zay Jones,rushing,2,3,1.5,0,4
