week,opponent,result
1,SEA,LOSS
2,PIT,LOSS
3,TB,WIN
4,NYJ,WIN
5,LV,WIN
6,LAC,LOSS
7,NO,WIN
8,CAR,WIN
9,BAL,LOSS
10,KC,LOSS
11,ATL,WIN
12,LV,WIN
13,CLE,WIN
14,BYE,BYE
15,IND,WIN
16,LAC,LOSS
17,CIN,LOSS
18,KC,WIN
