week,opponent,result
1,PIT,WIN
2,LAR,WIN
3,NYG,WIN
4,ARI,WIN
5,DAL,WIN
6,CLE,LOSS
7,MIN,LOSS
8,CIN,LOSS
9,BYE,BYE
10,JAX,WIN
11,TB,WIN
12,SEA,WIN
13,PHI,WIN
14,SEA,WIN
15,ARI,WIN
16,BAL,LOSS
17,WSH,WIN
18,LAR,LOSS
