team,player,category,FUM,LOST
NYG,Austin Johnson,fumbles,0,0
NYG,Billy Price,fumbles,0,0
NYG,Daniel Jones,fumbles,7,3
NYG,Dante Pettis,fumbles,1,0
NYG,Darius Slayton,fumbles,1,1
NYG,Evan Engram,fumbles,1,1
NYG,Jake Fromm,fumbles,2,1
NYG,James Bradberry IV,fumbles,1,0
NYG,John Ross,fumbles,1,0
NYG,Julian Love,fumbles,0,0
NYG,Kadarius Toney,fumbles,0,0
NYG,Keion Crossen,fumbles,0,0
NYG,Kyle Rudolph,fumbles,0,0
NYG,Leonard Williams,fumbles,0,0
NYG,Logan Ryan,fumbles,0,0
NYG,Lorenzo Carter,fumbles,0,0
NYG,Matt Skura,fumbles,0,0
NYG,Mike Glennon,fumbles,6,3
NYG,Reggie Ragland,fumbles,0,0
NYG,Saquon Barkley,fumbles,2,1
NYG,Tae Crowder,fumbles,1,0
NYG,Will Hernandez,fumbles,0,0
