team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
SF,Brock Purdy,passing,2167,7.54,20,10,11,197,284
SF,Christian McCaffrey,passing,0,0.0,0,0,0,0,1
SF,Mac Jones,passing,2151,7.48,13,6,16,201,289
