team,player,category,INT,YDS,TD
BAL,Brandon Stephens,interceptions,1,52,0
BAL,Geno Stone,interceptions,1,36,0
BAL,Kyle Hamilton,interceptions,1,0,0
BUF,Micah Hyde,interceptions,1,23,0
CAR,Kamu Grugier-Hill,interceptions,1,31,0
CAR,Sam Franklin Jr.,interceptions,1,99,1
CIN,Dax Hill,interceptions,1,0,0
DAL,DaRon Bland,interceptions,2,64,1
DEN,Kareem Jackson,interceptions,1,5,0
DET,Jerry Jacobs,interceptions,2,34,0
GB,Rudy Ford,interceptions,1,21,0
HOU,Steven Nelson,interceptions,1,33,0
IND,Kenny Moore II,interceptions,1,0,0
JAX,Darious Williams,interceptions,1,61,1
JAX,Andre Cisco,interceptions,1,18,0
LAC,Asante Samuel Jr.,interceptions,1,8,0
LV,Tre'von Moehrig,interceptions,1,16,0
NO,Isaac Yiadom,interceptions,1,0,0
NYJ,C.J. Mosley,interceptions,1,0,0
NYJ,Ashtyn Davis,interceptions,1,1,0
SEA,Quandre Diggs,interceptions,1,21,0
SEA,Devon Witherspoon,interceptions,1,97,1
TB,Dee Delaney,interceptions,1,4,0
