team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,38,4,1,1,1,1
ATL,Younghoe Koo,kicking,0.0,0,1,0,0,1,1
BAL,Justin Tucker,kicking,0.0,0,4,0,0,4,4
BUF,Tyler Bass,kicking,100.0,53,12,2,2,6,6
CAR,Eddy Pineiro,kicking,100.0,56,7,2,2,1,1
CHI,Cairo Santos,kicking,0.0,0,4,0,0,4,4
CIN,Evan McPherson,kicking,100.0,21,3,1,1,0,0
CLE,Dustin Hopkins,kicking,100.0,53,3,1,1,0,0
DAL,Brandon Aubrey,kicking,100.0,33,12,3,3,3,3
DEN,Wil Lutz,kicking,100.0,51,7,1,1,4,4
DET,Riley Patterson,kicking,100.0,37,10,2,2,4,4
GB,Anders Carlson,kicking,100.0,50,6,2,2,0,0
HOU,Ka'imi Fairbairn,kicking,100.0,39,12,3,3,3,3
IND,Matt Gay,kicking,0.0,0,1,0,1,1,1
JAX,Brandon McManus,kicking,100.0,56,11,3,3,2,2
KC,Harrison Butker,kicking,100.0,37,11,3,3,2,2
LAC,Cameron Dicker,kicking,100.0,33,6,1,1,3,3
LAR,Brett Maher,kicking,60.0,54,11,3,5,2,2
LV,Daniel Carlson,kicking,100.0,22,5,1,1,2,2
MIA,Jason Sanders,kicking,0.0,0,2,0,0,2,2
MIN,Greg Joseph,kicking,0.0,0,3,0,0,3,3
NE,Chad Ryland,kicking,50.0,29,3,1,2,0,0
NO,Blake Grupe,kicking,100.0,44,9,3,3,0,0
NYG,Graham Gano,kicking,100.0,55,3,1,1,0,0
NYJ,Greg Zuerlein,kicking,50.0,31,4,1,2,1,1
PHI,Jake Elliott,kicking,100.0,54,14,4,4,2,2
PIT,Chris Boswell,kicking,100.0,35,6,2,2,0,0
SEA,Jason Myers,kicking,50.0,34,6,1,2,3,3
SF,Jake Moody,kicking,0.0,0,5,0,0,5,5
TB,Chase McLaughlin,kicking,100.0,51,8,2,2,2,2
TEN,Nick Folk,kicking,100.0,53,9,2,2,3,3
WSH,Joey Slye,kicking,100.0,27,7,1,1,4,4
