team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Nolan Cooney,punting,3,117,39.0,0,0,49
ATL,Bradley Pinion,punting,5,271,54.2,0,3,62
BAL,Jordan Stout,punting,7,334,47.7,0,3,59
BUF,Sam Martin,punting,2,93,46.5,0,1,53
CAR,Johnny Hekker,punting,5,229,45.8,1,2,59
CHI,Trenton Gill,punting,2,90,45.0,0,1,56
CIN,Brad Robbins,punting,5,257,51.4,1,0,62
CLE,Corey Bojorquez,punting,8,373,46.6,0,1,67
DAL,Bryan Anger,punting,2,112,56.0,0,2,57
DEN,Riley Dixon,punting,4,163,40.8,0,2,45
DET,Jack Fox,punting,4,180,45.0,0,1,52
GB,Daniel Whelan,punting,5,259,51.8,0,0,57
HOU,Ty Zentner,punting,3,114,38.0,0,1,42
IND,Rigoberto Sanchez,punting,4,193,48.3,0,1,54
JAX,Logan Cooke,punting,3,160,53.3,0,3,59
KC,Tommy Townsend,punting,2,98,49.0,0,1,53
LAC,JK Scott,punting,4,160,40.0,0,0,49
LAR,Ethan Evans,punting,3,123,41.0,0,2,48
LV,AJ Cole,punting,5,269,53.8,0,3,70
MIA,Jake Bailey,punting,3,138,46.0,0,0,47
MIN,Ryan Wright,punting,4,216,54.0,0,0,61
NE,Bryce Baringer,punting,5,225,45.0,0,1,50
NO,Lou Hedley,punting,4,162,40.5,0,3,52
NYG,Jamie Gillan,punting,5,268,53.6,1,2,61
NYJ,Thomas Morstead,punting,5,214,42.8,0,4,49
PHI,Braden Mann,punting,3,129,43.0,0,1,48
PIT,Brad Wing,punting,5,238,47.6,1,1,52
SEA,Michael Dickson,punting,4,214,53.5,0,3,63
SF,Mitch Wishnowsky,punting,1,45,45.0,0,1,45
TB,Jake Camarda,punting,4,190,47.5,0,2,63
TEN,Ryan Stonehouse,punting,2,93,46.5,0,2,48
WSH,Tress Way,punting,5,213,42.6,0,0,54
