team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,39,8,2,2,2,2
ATL,Younghoe Koo,kicking,100.0,45,11,3,3,2,2
BAL,Justin Tucker,kicking,100.0,51,8,2,2,2,2
BUF,Tyler Bass,kicking,100.0,39,11,3,3,2,2
CAR,Eddy Pineiro,kicking,100.0,54,4,1,1,1,1
CHI,Michael Badgley,kicking,100.0,40,12,4,4,0,0
CIN,Evan McPherson,kicking,100.0,57,9,2,2,3,3
CLE,Cade York,kicking,100.0,45,8,2,2,2,2
DAL,Brett Maher,kicking,100.0,53,13,4,4,1,2
DEN,Brandon McManus,kicking,100.0,28,5,1,1,2,3
DET,Dominik Eberle,kicking,100.0,49,5,1,1,2,4
GB,Mason Crosby,kicking,100.0,38,9,2,2,3,3
HOU,Ka'imi Fairbairn,kicking,50.0,40,6,1,2,3,3
IND,Chase McLaughlin,kicking,50.0,27,5,1,2,2,2
JAX,Riley Patterson,kicking,0.0,0,3,0,0,3,3
KC,Matthew Wright,kicking,100.0,44,11,2,2,5,5
LAC,Dustin Hopkins,kicking,100.0,37,10,2,2,4,4
LAR,Matt Gay,kicking,100.0,39,9,3,3,0,0
LV,Daniel Carlson,kicking,100.0,39,14,4,4,2,3
MIA,Jason Sanders,kicking,75.0,48,9,3,4,0,1
MIN,Greg Joseph,kicking,100.0,47,16,5,5,1,2
NE,Nick Folk,kicking,100.0,37,6,1,1,3,3
NO,Wil Lutz,kicking,50.0,60,5,1,2,2,2
NYG,Graham Gano,kicking,67.0,44,8,2,3,2,2
NYJ,Greg Zuerlein,kicking,100.0,38,6,1,1,3,3
PHI,Jake Elliott,kicking,100.0,28,5,1,1,2,3
PIT,Chris Boswell,kicking,100.0,59,8,2,2,2,2
SEA,Jason Myers,kicking,67.0,56,12,2,3,6,6
SF,Robbie Gould,kicking,50.0,25,6,1,2,3,3
TB,Ryan Succop,kicking,100.0,45,7,1,1,4,4
TEN,Randy Bullock,kicking,100.0,44,6,1,1,3,3
WSH,Joey Slye,kicking,100.0,45,4,1,1,1,1
