team,player,category,INT,YDS,TD
ARI,Jalen Thompson,interceptions,1,0,0
ARI,Dennis Gardeck,interceptions,1,24,0
ATL,Dee Alford,interceptions,1,0,0
BAL,Marlon Humphrey,interceptions,1,26,0
BUF,Jordan Poyer,interceptions,2,0,0
CAR,Frankie Luvu,interceptions,1,33,1
CHI,Eddie Jackson,interceptions,1,-3,0
CIN,Vonn Bell,interceptions,2,46,0
CLE,Denzel Ward,interceptions,1,0,0
DAL,DaRon Bland,interceptions,1,4,0
DAL,Trevon Diggs,interceptions,1,0,0
JAX,Andre Cisco,interceptions,1,59,1
LAC,Bryce Callahan,interceptions,1,9,0
LAC,Nasir Adderley,interceptions,1,30,0
NE,Jack Jones,interceptions,1,40,1
NO,Tyrann Mathieu,interceptions,1,3,0
NYJ,Jordan Whitehead,interceptions,1,0,0
NYJ,Michael Carter II,interceptions,1,0,0
NYJ,Lamarcus Joyner,interceptions,2,4,0
PHI,James Bradberry IV,interceptions,1,5,0
PIT,Minkah Fitzpatrick,interceptions,1,34,0
PIT,Cameron Sutton,interceptions,1,26,0
SEA,Riq Woolen,interceptions,1,40,1
SF,Talanoa Hufanga,interceptions,1,52,1
TB,Sean Murphy-Bunting,interceptions,1,33,0
TEN,Teair Tart,interceptions,1,0,0
