team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,207,6.5,2,1,1,23,32
ATL,Marcus Mariota,passing,139,7.3,0,1,1,7,19
BAL,Lamar Jackson,passing,144,5.0,1,2,2,20,29
BUF,Josh Allen,passing,213,5.9,1,1,1,19,36
CAR,Baker Mayfield,passing,197,5.5,1,2,2,22,36
CHI,Justin Fields,passing,174,7.9,0,0,6,11,22
CIN,Joe Burrow,passing,287,9.3,2,0,1,20,31
CIN,Tyler Boyd,passing,23,23.0,0,0,0,1,1
CLE,Jacoby Brissett,passing,234,6.7,0,1,1,21,35
DAL,Cooper Rush,passing,223,8.3,2,0,1,15,27
DEN,Russell Wilson,passing,237,9.5,2,0,3,17,25
DET,Jared Goff,passing,378,9.7,4,1,1,26,39
DET,Jack Fox,passing,6,6.0,0,0,0,1,1
GB,Aaron Rodgers,passing,251,7.2,2,1,1,21,35
HOU,Davis Mills,passing,246,7.0,2,2,4,26,35
IND,Matt Ryan,passing,356,9.6,2,1,3,27,37
JAX,Trevor Lawrence,passing,174,7.6,2,1,4,11,23
KC,Patrick Mahomes,passing,249,6.7,3,1,3,23,37
LAC,Justin Herbert,passing,340,8.7,2,0,1,27,39
LAR,Matthew Stafford,passing,254,5.3,0,1,7,32,48
LV,Derek Carr,passing,188,5.5,0,0,2,21,34
MIA,Teddy Bridgewater,passing,193,8.4,1,1,0,14,23
MIA,Tua Tagovailoa,passing,110,7.9,0,1,1,8,14
MIN,Ryan Wright,passing,13,13.0,0,0,0,1,1
MIN,Kirk Cousins,passing,273,7.2,1,1,3,25,38
NE,Bailey Zappe,passing,99,6.6,1,0,3,10,15
NE,Brian Hoyer,passing,37,6.2,0,0,1,5,6
NO,Andy Dalton,passing,236,8.4,1,0,2,20,28
NYG,Tyrod Taylor,passing,11,3.7,0,1,0,1,3
NYG,Daniel Jones,passing,71,5.5,0,0,1,8,13
NYJ,Braxton Berrios,passing,2,2.0,1,0,0,1,1
NYJ,Zach Wilson,passing,252,7.0,1,2,1,18,36
PHI,Jalen Hurts,passing,204,8.2,0,1,2,16,25
PIT,Kenny Pickett,passing,120,9.2,0,3,0,10,13
PIT,Mitchell Trubisky,passing,84,6.5,0,1,3,7,13
SEA,Geno Smith,passing,320,10.7,2,0,0,23,30
SF,Jimmy Garoppolo,passing,239,8.9,1,0,0,16,27
TB,Tom Brady,passing,385,7.4,3,0,1,39,52
TEN,Ryan Tannehill,passing,137,6.5,2,0,3,17,21
WSH,Carson Wentz,passing,170,4.0,1,2,2,25,42
