team,player,category,CAR,YDS,AVG,TD,LONG
SF,Brandon Allen,rushing,3,4,0.75,0,6
SF,Brock Purdy,rushing,66,323,5.12,5,16
SF,Christian McCaffrey,rushing,50,202,4.4,0,19
SF,Deebo Samuel,rushing,42,136,2.8,1,13
SF,Isaac Guerendo,rushing,84,420,3.55,4,76
SF,Jacob Cowing,rushing,1,7,7.0,0,7
SF,Jordan Mason,rushing,153,789,5.11,3,38
SF,Joshua Dobbs,rushing,9,24,4.55,2,8
SF,Ke'Shawn Vaughn,rushing,2,4,2.0,0,3
SF,Kyle Juszczyk,rushing,5,26,5.2,1,14
SF,Patrick Taylor Jr.,rushing,39,183,4.14,1,29
SF,Ricky Pearsall,rushing,3,45,21.0,0,39
