team,player,category,INT,YDS,TD
IND,Cam Bynum,interceptions,4,22,0
IND,Chris Lammons,interceptions,1,0,0
IND,Germaine Pratt,interceptions,1,0,0
IND,Grover Stewart,interceptions,1,3,0
IND,Kenny Moore II,interceptions,1,32,1
IND,Laiatu Latu,interceptions,3,9,0
IND,Mekhi Blackmon,interceptions,2,41,0
IND,Nick Cross,interceptions,1,0,0
