team,player,category,INT,YDS,TD
ATL,Xavier Watts,interceptions,1,0,0
BUF,Cole Bishop,interceptions,1,4,0
CHI,Tyrique Stevenson,interceptions,1,3,0
CHI,Kevin Byard,interceptions,2,47,0
CIN,Demetrius Knight Jr.,interceptions,1,0,0
CLE,Denzel Ward,interceptions,1,13,0
DET,D.J. Reed,interceptions,1,34,0
DET,Kerby Joseph,interceptions,1,0,0
HOU,Derek Stingley Jr.,interceptions,1,20,0
JAX,Devin Lloyd,interceptions,2,8,0
KC,Leo Chenal,interceptions,1,0,0
LAR,Kam Curl,interceptions,2,0,0
LV,Maxx Crosby,interceptions,1,19,0
NO,Jonas Sanker,interceptions,1,0,0
NYG,Dru Phillips,interceptions,1,56,0
NYG,Dexter Lawrence II,interceptions,1,37,0
PHI,Jihaad Campbell,interceptions,1,0,0
PIT,DeShon Elliott,interceptions,1,-4,0
PIT,T.J. Watt,interceptions,1,13,0
SEA,Coby Bryant,interceptions,1,15,0
SEA,Ernest Jones IV,interceptions,1,29,0
WSH,Mike Sainristil,interceptions,1,23,0
