team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,202,50.5,0,3,63
ATL,Bradley Pinion,punting,2,92,46.0,0,1,48
BAL,Jordan Stout,punting,1,50,50.0,0,0,50
BUF,Cameron Johnston,punting,2,83,41.5,0,0,43
CAR,Sam Martin,punting,5,231,46.2,1,1,55
CHI,Tory Taylor,punting,3,148,49.3,1,1,62
CIN,Ryan Rehkow,punting,8,403,50.4,1,3,69
CLE,Corey Bojorquez,punting,7,314,44.9,0,4,47
DAL,Bryan Anger,punting,4,190,47.5,0,1,51
DEN,Jeremy Crawshaw,punting,4,199,49.8,2,1,62
DET,Jack Fox,punting,5,221,44.2,0,5,53
GB,Daniel Whelan,punting,2,83,41.5,0,2,43
HOU,Tommy Townsend,punting,3,132,44.0,0,2,64
IND,Rigoberto Sanchez,punting,4,209,52.3,0,2,56
JAX,Logan Cooke,punting,5,237,47.4,2,1,58
KC,Matt Araiza,punting,1,37,37.0,0,1,37
LAC,JK Scott,punting,5,244,48.8,0,3,60
LAR,Ethan Evans,punting,4,211,52.8,0,3,68
LV,AJ Cole,punting,1,60,60.0,0,0,60
MIA,Jake Bailey,punting,4,192,48.0,0,3,64
MIN,Ryan Wright,punting,3,136,45.3,0,0,49
NE,Bryce Baringer,punting,4,205,51.3,0,2,59
NO,Kai Kroeger,punting,3,142,47.3,1,2,49
NYG,Jamie Gillan,punting,5,244,48.8,0,3,69
NYJ,Austin McNamara,punting,2,84,42.0,0,1,43
PHI,Braden Mann,punting,7,363,51.9,0,2,63
PIT,Corliss Waitman,punting,3,146,48.7,1,0,54
SEA,Michael Dickson,punting,3,147,49.0,1,0,54
SF,Thomas Morstead,punting,2,91,45.5,0,0,51
TB,Riley Dixon,punting,3,110,36.7,0,0,52
TEN,Johnny Hekker,punting,5,213,42.6,0,2,50
WSH,Tress Way,punting,2,89,44.5,0,0,47
