team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,100.0,57,8,2,2,2,2
ATL,Parker Romo,kicking,100.0,38,10,2,2,4,4
BAL,Tyler Loop,kicking,100.0,43,8,2,2,2,2
BUF,Matt Prater,kicking,100.0,35,7,1,1,4,4
CAR,Ryan Fitzgerald,kicking,0.0,0,1,0,1,1,2
CHI,Cairo Santos,kicking,100.0,52,13,4,4,1,1
CIN,Evan McPherson,kicking,100.0,26,3,1,1,0,0
CLE,Andre Szmyt,kicking,50.0,33,4,1,2,1,1
DAL,Brandon Aubrey,kicking,100.0,22,8,1,1,5,5
DEN,Wil Lutz,kicking,0.0,0,4,0,0,4,4
DET,Jake Bates,kicking,100.0,58,10,2,2,4,4
GB,Brandon McManus,kicking,100.0,53,10,2,2,4,5
HOU,Ka'imi Fairbairn,kicking,66.7,47,8,2,3,2,2
IND,Spencer Shrader,kicking,100.0,52,8,2,2,2,2
JAX,Cam Little,kicking,66.7,44,8,2,3,2,2
KC,Harrison Butker,kicking,75.0,38,13,3,4,4,4
LAC,Cameron Dicker,kicking,100.0,43,4,1,1,1,1
LAR,Joshua Karty,kicking,100.0,42,9,2,2,3,3
LV,Daniel Carlson,kicking,50.0,29,6,1,2,3,3
MIA,Riley Patterson,kicking,100.0,47,9,2,2,3,3
MIN,Will Reichard,kicking,100.0,41,7,2,2,1,1
NE,Andy Borregales,kicking,0.0,0,6,0,0,6,6
NO,Blake Grupe,kicking,100.0,54,7,2,2,1,1
NYG,Jude McAtamney,kicking,100.0,31,7,2,2,1,1
NYJ,Nick Folk,kicking,100.0,58,7,2,2,1,1
PHI,Jake Elliott,kicking,100.0,39,7,1,1,4,4
PIT,Chris Boswell,kicking,50.0,33,6,1,2,3,3
SEA,Jason Myers,kicking,75.0,52,11,3,4,2,2
SF,Eddy Pineiro,kicking,100.0,26,7,2,2,1,1
TB,Chase McLaughlin,kicking,100.0,65,11,3,3,2,2
TEN,Joey Slye,kicking,0.0,0,0,0,2,0,0
WSH,Matt Gay,kicking,100.0,52,13,4,4,1,1
