team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Pat O'Donnell,punting,4,163,40.8,0,2,45
ATL,Bradley Pinion,punting,6,263,43.8,0,4,50
BAL,Jordan Stout,punting,5,248,49.6,0,3,58
BUF,Mitch Wishnowsky,punting,4,217,54.3,0,2,61
CAR,Sam Martin,punting,4,204,51.0,0,2,59
CHI,Tory Taylor,punting,3,135,45.0,2,1,59
CLE,Corey Bojorquez,punting,7,351,50.1,1,0,60
DEN,Jeremy Crawshaw,punting,7,293,41.9,1,0,54
GB,Daniel Whelan,punting,5,239,47.8,2,1,59
HOU,Tommy Townsend,punting,2,108,54.0,0,0,68
IND,Rigoberto Sanchez,punting,1,44,44.0,0,0,44
JAX,Logan Cooke,punting,3,137,45.7,0,2,53
LAC,JK Scott,punting,6,263,43.8,0,3,55
LAR,Ethan Evans,punting,2,73,36.5,0,1,48
LV,AJ Cole,punting,7,299,42.7,1,3,48
MIA,Jake Bailey,punting,3,153,51.0,1,2,61
MIN,Ryan Wright,punting,2,102,51.0,0,1,54
NE,Bryce Baringer,punting,5,248,49.6,1,1,59
NO,Kai Kroeger,punting,4,177,44.3,0,3,54
NYG,Jamie Gillan,punting,3,110,36.7,0,1,54
NYJ,Austin McNamara,punting,5,249,49.8,0,3,55
PHI,Braden Mann,punting,5,238,47.6,1,1,66
PIT,Corliss Waitman,punting,4,183,45.8,0,2,51
SF,Thomas Morstead,punting,2,87,43.5,0,2,48
TB,Riley Dixon,punting,6,258,43.0,1,2,50
WSH,Tress Way,punting,4,200,50.0,0,2,56
