team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,314,5.4,0,0,2,37,58
ATL,Marcus Mariota,passing,229,11.5,1,1,3,13,20
BAL,Lamar Jackson,passing,218,7.5,4,1,4,18,29
BUF,Josh Allen,passing,400,6.3,2,0,4,42,63
CAR,Baker Mayfield,passing,170,6.8,1,0,3,12,25
CHI,Justin Fields,passing,106,6.2,0,2,5,8,17
CIN,Joe Burrow,passing,275,7.6,3,0,2,23,36
CLE,Jacoby Brissett,passing,220,7.1,2,0,2,21,31
DAL,Cooper Rush,passing,215,6.9,1,0,0,21,31
DEN,Russell Wilson,passing,184,5.6,0,0,4,20,33
DET,Jared Goff,passing,277,6.8,1,1,0,25,41
GB,Aaron Rodgers,passing,255,7.3,2,1,1,27,35
HOU,Davis Mills,passing,245,7.7,1,2,1,20,32
IND,Matt Ryan,passing,222,6.0,2,0,5,27,37
JAX,Trevor Lawrence,passing,262,6.7,3,0,0,28,39
KC,Patrick Mahomes,passing,262,7.5,1,1,1,20,35
KC,Tommy Townsend,passing,0,0.0,0,0,0,0,1
LAC,Justin Herbert,passing,297,6.6,1,1,1,25,45
LAR,Matthew Stafford,passing,249,10.0,0,0,1,18,25
LV,Mack Hollins,passing,4,4.0,0,0,0,1,1
LV,Derek Carr,passing,303,6.9,2,1,1,26,44
MIA,Tua Tagovailoa,passing,186,10.3,1,0,1,13,18
MIA,Teddy Bridgewater,passing,0,0.0,0,0,1,0,2
MIN,Kirk Cousins,passing,260,6.3,2,0,1,24,41
NE,Mac Jones,passing,321,10.0,0,3,3,22,32
NO,Jameis Winston,passing,353,8.6,1,2,1,25,41
NYG,Daniel Jones,passing,196,5.3,0,1,5,20,37
NYJ,Joe Flacco,passing,285,5.5,0,2,4,28,52
PHI,Jalen Hurts,passing,340,9.7,3,0,3,22,35
PIT,Mitchell Trubisky,passing,207,6.5,0,0,1,20,32
SEA,Geno Smith,passing,325,7.4,2,1,2,32,44
SF,Jimmy Garoppolo,passing,211,7.3,1,1,4,18,29
TB,Tom Brady,passing,271,6.5,1,0,3,31,42
TEN,Ryan Tannehill,passing,264,9.8,1,1,1,19,27
WSH,Carson Wentz,passing,211,4.9,0,0,9,25,43
