team,player,category,INT,YDS,TD
ATL,Richie Grant,interceptions,1,12,0
BAL,Marcus Peters,interceptions,1,8,0
BAL,Josh Bynes,interceptions,1,0,0
BAL,Marlon Humphrey,interceptions,1,0,0
CAR,Jaycee Horn,interceptions,1,0,0
CAR,Derrick Brown,interceptions,1,0,0
CHI,Roquan Smith,interceptions,1,18,0
CHI,Eddie Jackson,interceptions,1,0,0
CIN,Jessie Bates III,interceptions,1,1,0
CIN,Logan Wilson,interceptions,1,41,0
DAL,Trevon Diggs,interceptions,1,7,0
DEN,Jonas Griffith,interceptions,1,1,0
HOU,Jalen Pitre,interceptions,2,22,0
IND,Rodney McLeod Jr.,interceptions,1,0,0
JAX,Devin Lloyd,interceptions,1,10,0
LV,Duron Harmon,interceptions,1,13,0
MIN,Joshua Metellus,interceptions,1,0,0
NE,Jonathan Jones,interceptions,1,15,0
SEA,Riq Woolen,interceptions,1,7,0
TB,Logan Ryan,interceptions,1,0,0
TEN,Kevin Byard,interceptions,1,24,0
