team,player,category,INT,YDS,TD
BAL,Roquan Smith,interceptions,1,0,0
CHI,Tyrique Stevenson,interceptions,1,43,1
CHI,Jaylon Johnson,interceptions,1,9,0
DAL,Trevon Diggs,interceptions,1,1,0
DAL,Eric Kendricks,interceptions,1,8,0
DEN,Alex Singleton,interceptions,1,21,0
DET,Kerby Joseph,interceptions,1,0,0
GB,Jaire Alexander,interceptions,1,17,0
GB,Xavier McKinney,interceptions,1,17,0
HOU,Calen Bullock,interceptions,1,0,0
LAC,Poona Ford,interceptions,1,3,0
LAR,John Johnson III,interceptions,1,0,0
MIN,Andrew Van Ginkel,interceptions,1,10,1
MIN,Harrison Smith,interceptions,1,0,0
NO,Jordan Howden,interceptions,1,-5,0
NO,Will Harris,interceptions,1,7,0
NYG,Darius Muasau,interceptions,1,1,0
PHI,Reed Blankenship,interceptions,1,1,0
PIT,DeShon Elliott,interceptions,1,0,0
PIT,Donte Jackson,interceptions,1,49,0
SEA,Riq Woolen,interceptions,1,4,0
SEA,Julian Love,interceptions,1,0,0
SF,Demetrius Flannigan-Fowles,interceptions,1,0,0
