team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,2,78,39.0,0,0,50
ATL,Bradley Pinion,punting,4,210,52.5,0,0,59
BAL,Jordan Stout,punting,2,75,37.5,0,2,40
BUF,Sam Martin,punting,2,85,42.5,0,1,51
CAR,Johnny Hekker,punting,5,191,38.2,0,0,53
CHI,Tory Taylor,punting,6,270,45.0,1,3,60
CIN,Ryan Rehkow,punting,4,258,64.5,2,1,80
CLE,Corey Bojorquez,punting,7,357,51.0,0,1,62
DAL,Bryan Anger,punting,6,294,49.0,0,0,59
DEN,Riley Dixon,punting,8,389,48.6,1,4,65
DET,Jack Fox,punting,4,230,57.5,2,2,67
GB,Daniel Whelan,punting,2,74,37.0,0,1,41
HOU,Tommy Townsend,punting,1,56,56.0,0,0,56
IND,Rigoberto Sanchez,punting,3,152,50.7,0,3,58
JAX,Logan Cooke,punting,6,311,51.8,0,3,67
KC,Matt Araiza,punting,3,144,48.0,2,1,56
LAC,JK Scott,punting,7,332,47.4,2,1,56
LAR,Ethan Evans,punting,3,141,47.0,0,0,50
LV,AJ Cole,punting,5,265,53.0,1,3,62
MIA,Jake Bailey,punting,4,198,49.5,0,3,57
MIN,Ryan Wright,punting,4,168,42.0,0,3,48
NE,Bryce Baringer,punting,5,250,50.0,0,3,56
NO,Matthew Hayball,punting,2,73,36.5,0,1,38
NYG,Jamie Gillan,punting,6,277,46.2,0,4,55
NYJ,Thomas Morstead,punting,3,160,53.3,0,2,60
PHI,Braden Mann,punting,2,101,50.5,0,1,54
PIT,Chris Boswell,punting,1,43,43.0,0,0,43
PIT,Cameron Johnston,punting,2,103,51.5,0,1,58
SEA,Michael Dickson,punting,5,241,48.2,0,0,52
SF,Mitch Wishnowsky,punting,1,58,58.0,0,0,58
TB,Jake Camarda,punting,1,38,38.0,0,0,38
TEN,Ryan Stonehouse,punting,5,268,53.6,0,1,59
WSH,Tress Way,punting,3,139,46.3,0,1,54
