team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,5,240,48.0,0,1,58
ATL,Bradley Pinion,punting,3,134,44.7,0,0,48
BAL,Jordan Stout,punting,2,112,56.0,0,0,57
BUF,Sam Martin,punting,1,55,55.0,0,0,55
CHI,Trenton Gill,punting,3,120,40.0,0,0,47
CLE,Corey Bojorquez,punting,5,272,54.4,0,1,69
DEN,Riley Dixon,punting,3,132,44.0,0,0,49
DET,Jack Fox,punting,4,184,46.0,0,2,61
GB,Daniel Whelan,punting,3,155,51.7,1,2,59
IND,Rigoberto Sanchez,punting,5,260,52.0,0,1,57
JAX,Logan Cooke,punting,5,224,44.8,0,4,54
KC,Tommy Townsend,punting,3,137,45.7,0,0,48
LAC,JK Scott,punting,5,261,52.2,0,4,65
LAR,Ethan Evans,punting,4,208,52.0,1,2,68
LV,AJ Cole,punting,2,82,41.0,0,2,43
MIA,Jake Bailey,punting,3,135,45.0,1,1,59
MIN,Ryan Wright,punting,1,42,42.0,1,0,42
NE,Bryce Baringer,punting,2,110,55.0,0,2,64
NO,Lou Hedley,punting,4,169,42.3,0,2,62
NYG,Jamie Gillan,punting,8,395,49.4,0,2,58
PHI,Braden Mann,punting,1,57,57.0,0,0,57
PIT,Pressley Harvin III,punting,5,218,43.6,0,2,55
SEA,Michael Dickson,punting,3,143,47.7,1,1,52
SF,Mitch Wishnowsky,punting,1,62,62.0,0,0,62
TB,Jake Camarda,punting,3,144,48.0,0,1,52
WSH,Tress Way,punting,10,513,51.3,1,4,58
