team,player,category,REC,YDS,AVG,TD,LONG,TGTS
PHI,A.J. Brown,receiving,78,1003,12.61,7,45,121
PHI,AJ Dillon,receiving,3,21,6.0,0,11,3
PHI,Britain Covey,receiving,2,20,10.0,0,12,4
PHI,Dallas Goedert,receiving,60,591,10.91,11,36,82
PHI,Darius Cooper,receiving,9,92,10.4,0,19,11
PHI,DeVonta Smith,receiving,77,1008,13.08,4,79,113
PHI,Grant Calcaterra,receiving,9,76,7.06,1,16,13
PHI,Jahan Dotson,receiving,18,262,11.84,1,51,36
PHI,John Metchie III,receiving,4,18,4.33,0,8,4
PHI,Kylen Granson,receiving,7,40,4.38,0,12,9
PHI,Saquon Barkley,receiving,37,273,5.47,2,47,50
PHI,Tank Bigsby,receiving,3,32,8.0,0,31,4
PHI,Will Shipley,receiving,9,56,5.25,0,12,12
PHI,Xavier Gipson,receiving,2,6,3.0,0,3,2
