week,opponent,result
1,DEN,WIN
2,SF,LOSS
3,ATL,LOSS
4,DET,WIN
5,NO,LOSS
6,ARI,WIN
7,LAC,WIN
8,NYG,WIN
9,ARI,WIN
10,TB,LOSS
11,BYE,BYE
12,LV,LOSS
13,LAR,WIN
14,CAR,LOSS
15,SF,LOSS
16,KC,LOSS
17,NYJ,WIN
18,LAR,WIN
