week,opponent,result
1,PIT,LOSS
2,PHI,WIN
3,KC,LOSS
4,NO,WIN
5,TB,WIN
6,CAR,WIN
7,SEA,LOSS
8,TB,WIN
9,DAL,WIN
10,NO,LOSS
11,DEN,LOSS
13,LAC,LOSS
14,MIN,LOSS
15,LV,WIN
16,NYG,WIN
17,WSH,LOSS
18,CAR,LOSS
