team,player,category,INT,YDS,TD
BAL,Patrick Queen,interceptions,1,11,0
BUF,Kaiir Elam,interceptions,1,0,0
CHI,Kindle Vildor,interceptions,1,18,0
CIN,Vonn Bell,interceptions,1,0,0
DAL,Malik Hooker,interceptions,1,3,0
DEN,Caden Sterns,interceptions,2,25,0
DET,DeShon Elliott,interceptions,1,0,0
HOU,Derek Stingley Jr.,interceptions,1,9,0
HOU,Desmond King II,interceptions,1,29,0
IND,Rodney Thomas II,interceptions,1,35,0
IND,Stephon Gilmore,interceptions,1,0,0
LAC,Alohi Gilman,interceptions,1,18,0
NE,Jack Jones,interceptions,1,0,0
NYJ,Sauce Gardner,interceptions,1,3,0
PHI,C.J. Gardner-Johnson,interceptions,1,0,0
PIT,Levi Wallace,interceptions,1,0,0
SEA,Riq Woolen,interceptions,1,0,0
SF,Emmanuel Moseley,interceptions,1,41,1
TEN,David Long Jr.,interceptions,1,0,0
