team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,196,49.0,0,2,55
ATL,Bradley Pinion,punting,6,290,48.3,0,3,62
BAL,Jordan Stout,punting,2,79,39.5,0,2,41
BUF,Sam Martin,punting,2,110,55.0,2,0,61
CAR,Johnny Hekker,punting,3,154,51.3,0,2,67
CHI,Trenton Gill,punting,2,112,56.0,1,0,60
CIN,Kevin Huber,punting,4,154,38.5,0,0,51
CLE,Corey Bojorquez,punting,2,119,59.5,0,1,61
DAL,Bryan Anger,punting,6,288,48.0,1,3,67
DEN,Corliss Waitman,punting,5,229,45.8,0,1,52
DET,Jack Fox,punting,2,88,44.0,0,1,56
GB,Pat O'Donnell,punting,3,124,41.3,0,1,50
HOU,Cameron Johnston,punting,6,293,48.8,1,3,58
IND,Matt Haack,punting,7,310,44.3,1,3,54
JAX,Logan Cooke,punting,3,159,53.0,0,1,62
KC,Tommy Townsend,punting,3,145,48.3,0,1,60
LAC,JK Scott,punting,1,37,37.0,0,0,37
LAR,Riley Dixon,punting,5,223,44.6,0,2,53
LV,AJ Cole,punting,2,104,52.0,0,0,60
MIA,Thomas Morstead,punting,3,131,43.7,0,1,48
MIN,Ryan Wright,punting,1,15,15.0,0,0,15
NE,Jake Bailey,punting,2,101,50.5,0,0,61
NO,Blake Gillikin,punting,4,189,47.3,2,0,62
NYG,Jamie Gillan,punting,2,100,50.0,0,0,58
NYJ,Braden Mann,punting,4,185,46.3,0,2,51
PHI,Arryn Siposs,punting,4,184,46.0,0,3,55
PIT,Pressley Harvin III,punting,4,163,40.8,0,1,69
SEA,Michael Dickson,punting,5,233,46.6,0,2,55
SF,Mitch Wishnowsky,punting,2,75,37.5,0,2,38
TB,Jake Camarda,punting,4,197,49.3,1,0,65
TEN,Ryan Stonehouse,punting,8,416,52.0,0,4,66
WSH,Tress Way,punting,6,247,41.2,0,2,48
