week,opponent,result
1,PHI,LOSS
2,NYG,WIN
3,CHI,LOSS
4,GB,LOSS
5,NYJ,WIN
6,CAR,LOSS
7,WSH,WIN
8,DEN,LOSS
9,ARI,LOSS
11,LV,WIN
12,PHI,WIN
13,KC,WIN
14,DET,LOSS
15,MIN,LOSS
16,LAC,LOSS
17,WSH,WIN
18,NYG,LOSS
