week,opponent,result
1,KC,LOSS
2,LV,LOSS
3,DAL,WIN
4,BUF,WIN
5,CIN,WIN
6,WSH,WIN
7,TB,WIN
8,CLE,LOSS
9,DEN,WIN
10,CIN,WIN
11,PIT,LOSS
12,LAC,WIN
13,PHI,LOSS
14,BYE,BYE
15,NYG,WIN
16,PIT,WIN
17,HOU,WIN
18,CLE,WIN
