team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,220,8.8,1,1,1,17,25
ATL,Michael Penix Jr.,passing,135,6.4,0,0,3,13,21
BAL,Lamar Jackson,passing,225,7.8,4,0,3,19,29
BUF,Mitchell Trubisky,passing,32,16.0,0,0,0,1,2
BUF,Josh Allen,passing,148,5.9,0,0,1,14,25
CAR,Bryce Young,passing,328,6.0,3,1,3,35,55
CHI,Caleb Williams,passing,207,6.9,2,1,4,19,30
CHI,Tyson Bagent,passing,27,9.0,0,0,0,2,3
CIN,Jake Browning,passing,241,7.5,2,3,1,21,32
CIN,Joe Burrow,passing,76,5.8,1,0,2,7,13
CLE,Dillon Gabriel,passing,19,6.7,1,0,0,3,3
CLE,Joe Flacco,passing,199,4.4,1,1,2,25,45
DAL,Dak Prescott,passing,361,6.9,2,1,3,38,52
DEN,Bo Nix,passing,206,6.9,3,1,0,22,30
DET,Jared Goff,passing,334,11.9,5,0,0,23,28
GB,Jordan Love,passing,292,9.4,2,0,2,19,31
HOU,C.J. Stroud,passing,207,8.6,1,0,3,13,24
IND,Daniel Jones,passing,316,9.3,1,0,1,23,34
JAX,Trevor Lawrence,passing,271,6.5,3,2,1,24,42
KC,Patrick Mahomes,passing,187,6.4,1,1,2,16,29
LAC,Justin Herbert,passing,242,9.0,2,0,2,19,27
LAR,Matthew Stafford,passing,298,9.0,2,1,1,23,33
LV,Geno Smith,passing,180,4.2,0,3,3,24,43
MIA,Tua Tagovailoa,passing,315,9.8,2,1,5,26,32
MIN,J.J. McCarthy,passing,158,7.5,0,2,6,11,21
NE,Drake Maye,passing,230,10.0,2,0,3,19,23
NO,Spencer Rattler,passing,207,6.1,3,0,3,25,34
NYG,Russell Wilson,passing,450,11.0,3,1,3,30,41
NYJ,Tyrod Taylor,passing,56,5.1,1,0,2,7,11
NYJ,Justin Fields,passing,27,2.5,0,0,2,3,11
PHI,Jalen Hurts,passing,101,4.6,0,0,2,15,22
PIT,Aaron Rodgers,passing,203,6.2,1,2,3,18,33
PIT,Mason Rudolph,passing,12,6.0,0,0,0,2,2
SEA,Sam Darnold,passing,295,8.9,2,2,2,22,33
SF,Mac Jones,passing,279,7.2,3,0,3,26,39
TB,Baker Mayfield,passing,215,5.7,2,0,4,25,38
TEN,Cam Ward,passing,175,5.3,1,0,5,19,33
WSH,Jayden Daniels,passing,200,4.8,2,0,4,24,42
