team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,2,123,61.5,0,0,62
ATL,Bradley Pinion,punting,3,137,45.7,0,1,46
BAL,Jordan Stout,punting,5,259,51.8,0,2,58
BUF,Cameron Johnston,punting,3,130,43.3,0,2,48
CAR,Sam Martin,punting,2,95,47.5,0,1,60
CHI,Tory Taylor,punting,4,212,53.0,0,1,62
CIN,Ryan Rehkow,punting,3,166,55.3,0,2,63
CLE,Corey Bojorquez,punting,5,223,44.6,0,3,53
DAL,Bryan Anger,punting,4,191,47.8,0,2,53
DEN,Jeremy Crawshaw,punting,3,134,44.7,0,3,50
DET,Jack Fox,punting,3,147,49.0,0,2,62
GB,Daniel Whelan,punting,4,213,53.3,1,0,55
HOU,Tommy Townsend,punting,4,203,50.8,1,2,57
JAX,Logan Cooke,punting,2,95,47.5,0,1,60
KC,Matt Araiza,punting,3,178,59.3,0,2,69
LAC,JK Scott,punting,3,158,52.7,0,2,56
LAR,Ethan Evans,punting,3,145,48.3,0,1,51
LV,AJ Cole,punting,2,114,57.0,0,1,60
MIA,Jake Bailey,punting,2,88,44.0,0,1,48
MIN,Ryan Wright,punting,4,204,51.0,0,2,59
NE,Bryce Baringer,punting,2,136,68.0,0,0,71
NO,Kai Kroeger,punting,4,171,42.8,1,1,52
NYG,Jamie Gillan,punting,3,135,45.0,0,0,50
NYJ,Austin McNamara,punting,7,340,48.6,1,3,55
PHI,Braden Mann,punting,5,274,54.8,1,1,70
PIT,Corliss Waitman,punting,4,221,55.3,1,1,64
SEA,Michael Dickson,punting,4,175,43.8,1,2,52
SF,Thomas Morstead,punting,4,173,43.3,0,2,49
TB,Riley Dixon,punting,5,253,50.6,1,0,60
TEN,Johnny Hekker,punting,5,250,50.0,0,2,57
WSH,Tress Way,punting,4,187,46.8,0,3,55
