week,opponent,result
1,MIN,WIN
2,CHI,WIN
3,PHI,LOSS
4,NO,WIN
5,BYE,BYE
6,DET,LOSS
7,ATL,LOSS
8,BUF,LOSS
9,HOU,LOSS
10,TEN,WIN
11,SF,LOSS
12,IND,LOSS
13,CAR,WIN
14,ATL,WIN
15,GB,WIN
16,JAX,WIN
17,NO,LOSS
18,CAR,WIN
