week,opponent,result
1,CLE,LOSS
2,NYG,LOSS
3,NO,WIN
4,ARI,LOSS
5,SF,LOSS
6,LAR,LOSS
7,TB,WIN
8,ATL,LOSS
9,CIN,LOSS
10,ATL,WIN
11,BAL,LOSS
12,DEN,WIN
13,BYE,BYE
14,SEA,WIN
15,PIT,LOSS
16,DET,WIN
17,TB,LOSS
18,NO,WIN
