team,player,category,REC,YDS,AVG,TD,LONG,TGTS
WSH,Alex Armah,receiving,3,13,4.33,0,10,3
WSH,Antonio Gibson,receiving,48,389,7.74,2,41,59
WSH,Brian Robinson Jr.,receiving,36,368,8.52,4,51,43
WSH,Byron Pringle,receiving,14,161,8.01,0,26,22
WSH,Chris Rodriguez Jr.,receiving,2,12,6.0,0,7,2
WSH,Cole Turner,receiving,11,120,11.9,0,29,15
WSH,Curtis Samuel,receiving,62,613,10.16,4,37,91
WSH,Dyami Brown,receiving,12,168,8.07,1,35,23
WSH,Jahan Dotson,receiving,49,518,8.68,4,33,83
WSH,Jamison Crowder,receiving,16,159,6.27,1,26,20
WSH,John Bates,receiving,19,151,5.29,0,35,28
WSH,Jonathan Williams,receiving,0,0,0.0,0,0,1
WSH,Logan Thomas,receiving,55,496,8.19,4,29,78
WSH,Sam Howell,receiving,1,4,4.0,0,4,1
WSH,Terry McLaurin,receiving,79,1002,12.12,4,48,132
