team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
WSH,Dyami Brown,passing,4,4.0,0,0,0,1,1
WSH,Jacoby Brissett,passing,224,10.05,3,0,0,18,23
WSH,Sam Howell,passing,3946,6.19,21,21,65,388,612
