team,player,category,REC,YDS,AVG,TD,LONG,TGTS
JAX,Chris Manhertz,receiving,6,42,5.75,0,21,8
JAX,Christian Kirk,receiving,84,1108,13.36,8,49,133
JAX,Dan Arnold,receiving,9,135,13.5,0,26,13
JAX,Evan Engram,receiving,73,766,10.16,4,36,98
JAX,JaMycal Hasty,receiving,20,126,4.42,1,28,26
JAX,Jamal Agnew,receiving,23,187,6.23,3,24,30
JAX,James Robinson,receiving,9,46,3.72,1,10,11
JAX,Luke Farrell,receiving,4,40,10.0,0,15,4
JAX,Marvin Jones Jr.,receiving,46,529,11.57,3,37,81
JAX,Tim Jones,receiving,3,30,7.5,0,20,4
JAX,Travis Etienne Jr.,receiving,35,316,8.33,0,30,45
JAX,Zay Jones,receiving,82,823,9.69,5,59,121
