team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,55,9,3,3,0,0
ATL,Younghoe Koo,kicking,100.0,28,4,1,1,1,1
BAL,Justin Tucker,kicking,33.0,53,3,1,3,0,0
BUF,Tyler Bass,kicking,100.0,25,6,1,1,3,3
CAR,Eddy Pineiro,kicking,100.0,52,10,3,3,1,1
CHI,Cairo Santos,kicking,0.0,0,2,0,0,2,3
CIN,Evan McPherson,kicking,100.0,41,8,2,2,2,2
CLE,Cade York,kicking,50.0,47,7,2,4,1,1
DAL,Brett Maher,kicking,100.0,53,10,2,2,4,4
DEN,Brandon McManus,kicking,50.0,52,6,1,2,3,3
DET,Michael Badgley,kicking,67.0,34,8,2,3,2,2
GB,Mason Crosby,kicking,100.0,34,6,1,1,3,3
HOU,Ka'imi Fairbairn,kicking,100.0,29,6,1,1,3,3
IND,Chase McLaughlin,kicking,100.0,52,18,5,5,3,3
JAX,Riley Patterson,kicking,100.0,48,10,2,2,4,4
KC,Harrison Butker,kicking,50.0,27,4,1,2,1,2
LAC,Cameron Dicker,kicking,100.0,43,5,1,1,2,2
LAR,Matt Gay,kicking,100.0,55,6,2,2,0,1
LV,Daniel Carlson,kicking,100.0,49,6,1,1,3,3
MIA,Jason Sanders,kicking,100.0,47,11,3,3,2,2
MIN,Greg Joseph,kicking,100.0,40,7,1,1,4,4
NE,Nick Folk,kicking,100.0,54,10,3,3,1,1
NO,Wil Lutz,kicking,0.0,0,3,0,0,3,3
NYG,Graham Gano,kicking,100.0,50,8,2,2,2,2
NYJ,Greg Zuerlein,kicking,50.0,34,5,1,2,2,2
PHI,Jake Elliott,kicking,50.0,32,5,1,2,2,2
PIT,Chris Boswell,kicking,100.0,50,6,1,1,3,3
SEA,Jason Myers,kicking,100.0,51,7,2,2,1,1
SF,Robbie Gould,kicking,0.0,0,3,0,1,3,3
TB,Ryan Succop,kicking,50.0,21,5,1,2,2,2
TEN,Randy Bullock,kicking,0.0,0,2,0,1,2,2
WSH,Joey Slye,kicking,100.0,51,6,2,2,0,1
