team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,6,299,49.8,0,2,59
ATL,Bradley Pinion,punting,5,208,41.6,0,3,46
BAL,Jordan Stout,punting,1,41,41.0,0,1,41
BUF,Sam Martin,punting,5,215,43.0,0,2,49
CAR,Johnny Hekker,punting,4,194,48.5,0,1,63
CHI,Trenton Gill,punting,6,252,42.0,0,3,56
CIN,Drue Chrisman,punting,4,180,45.0,0,2,53
CLE,Corey Bojorquez,punting,3,155,51.7,0,1,70
DAL,Bryan Anger,punting,4,185,46.3,0,2,52
DEN,Corliss Waitman,punting,5,224,44.8,0,3,56
DET,Jack Fox,punting,4,178,44.5,1,1,49
GB,Pat O'Donnell,punting,1,37,37.0,0,1,37
HOU,Cameron Johnston,punting,5,234,46.8,0,2,52
IND,Matt Haack,punting,7,305,43.6,0,3,55
JAX,Logan Cooke,punting,3,160,53.3,0,0,61
KC,Tommy Townsend,punting,4,193,48.3,0,2,57
LAC,JK Scott,punting,7,291,41.6,1,2,54
LAR,Riley Dixon,punting,4,151,37.8,0,1,47
LV,AJ Cole,punting,7,324,46.3,0,2,50
MIA,Thomas Morstead,punting,4,167,41.8,0,3,59
MIN,Ryan Wright,punting,5,231,46.2,0,2,63
NE,Michael Palardy,punting,5,226,45.2,0,2,53
NO,Blake Gillikin,punting,4,181,45.3,0,1,53
NYG,Jamie Gillan,punting,5,213,42.6,0,3,56
NYJ,Braden Mann,punting,6,300,50.0,3,1,55
PHI,Brett Kern,punting,2,90,45.0,0,0,50
PIT,Pressley Harvin III,punting,3,136,45.3,1,0,54
SEA,Michael Dickson,punting,7,349,49.9,1,3,64
SF,Mitch Wishnowsky,punting,6,253,42.2,1,3,46
TB,Jake Camarda,punting,1,51,51.0,0,0,51
TEN,Ryan Stonehouse,punting,7,392,56.0,1,4,68
WSH,Tress Way,punting,4,177,44.3,0,2,65
