team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Colt McCoy,passing,78,3.7,0,1,2,13,21
ARI,Trace McSorley,passing,95,6.3,0,2,1,7,15
ATL,Desmond Ridder,passing,97,3.7,0,0,4,13,26
BAL,Tyler Huntley,passing,138,4.6,0,1,3,17,30
BUF,Josh Allen,passing,304,7.6,4,0,2,25,40
CAR,Sam Darnold,passing,225,9.8,1,0,4,14,23
CHI,Justin Fields,passing,152,7.2,2,0,6,14,21
CHI,Nathan Peterman,passing,0,0.0,0,0,0,0,1
CIN,Joe Burrow,passing,200,5.1,4,1,2,27,39
CLE,Deshaun Watson,passing,161,5.8,1,0,3,18,28
DAL,Dak Prescott,passing,256,8.5,3,2,3,23,30
DEN,Brett Rypien,passing,197,7.6,1,1,7,21,26
DET,Jared Goff,passing,252,6.6,1,0,0,23,38
GB,Aaron Rodgers,passing,229,7.6,1,1,3,22,30
HOU,Davis Mills,passing,121,5.0,2,0,0,12,24
HOU,Jeff Driskel,passing,8,2.0,0,0,1,2,4
HOU,Phillip Dorsett II,passing,0,0.0,0,0,0,0,1
IND,Matt Ryan,passing,182,5.5,1,0,3,19,33
JAX,Trevor Lawrence,passing,318,7.6,4,1,1,27,42
KC,Patrick Mahomes,passing,336,8.2,2,0,2,36,41
LAC,Justin Herbert,passing,313,7.5,0,2,3,28,42
LAR,Baker Mayfield,passing,111,5.3,1,1,5,12,21
LV,Derek Carr,passing,231,6.1,3,1,3,20,38
MIA,Tua Tagovailoa,passing,234,7.8,2,0,2,17,30
MIN,Kirk Cousins,passing,460,8.5,4,2,7,34,54
MIN,Ryan Wright,passing,0,0.0,0,0,0,0,1
NE,Mac Jones,passing,112,3.6,0,0,0,13,31
NO,Taysom Hill,passing,80,40.0,1,0,0,2,2
NO,Andy Dalton,passing,151,8.9,2,0,2,11,17
NYG,Daniel Jones,passing,160,5.0,0,0,0,21,32
NYJ,Zach Wilson,passing,317,9.1,2,1,4,18,35
PHI,Jalen Hurts,passing,315,8.5,0,2,1,22,37
PIT,Mitchell Trubisky,passing,179,8.1,0,0,1,17,22
SEA,Geno Smith,passing,238,5.4,1,0,3,31,44
SF,Brock Purdy,passing,217,8.3,2,0,1,17,26
TB,Tom Brady,passing,312,7.1,3,2,1,30,44
TEN,Ryan Tannehill,passing,165,7.5,0,1,4,15,22
TEN,Malik Willis,passing,20,5.0,0,0,0,3,4
WSH,Taylor Heinicke,passing,249,8.6,1,0,3,17,29
