team,player,category,INT,YDS,TD
ARI,Budda Baker,interceptions,1,1,0
CHI,DeAndre Houston-Carson,interceptions,1,18,0
CHI,Kyler Gordon,interceptions,1,0,0
CIN,Germaine Pratt,interceptions,1,0,0
CIN,Tre Flowers,interceptions,1,0,0
CLE,Denzel Ward,interceptions,1,0,0
DAL,DaRon Bland,interceptions,1,15,0
DEN,Justin Simmons,interceptions,2,43,0
DEN,Pat Surtain II,interceptions,1,-3,0
DET,Jerry Jacobs,interceptions,1,38,0
GB,Rasul Douglas,interceptions,1,0,0
IND,Rodney Thomas II,interceptions,1,0,0
IND,Julian Blackmon,interceptions,1,17,1
JAX,Rayshawn Jenkins,interceptions,2,54,1
LAC,Nasir Adderley,interceptions,1,0,0
LAR,Taylor Rapp,interceptions,1,18,0
NE,Kyle Dugger,interceptions,1,16,1
TB,Carlton Davis III,interceptions,1,0,0
TEN,Kevin Byard,interceptions,1,3,0
TEN,Joshua Kalu,interceptions,1,0,0
