week,opponent,result
1,CIN,LOSS
2,BAL,LOSS
3,GB,WIN
4,DET,LOSS
5,MIN,LOSS
6,PIT,LOSS
7,MIA,WIN
8,NE,LOSS
10,NYJ,LOSS
11,BAL,LOSS
12,LV,WIN
13,SF,LOSS
14,TEN,LOSS
15,CHI,LOSS
16,BUF,LOSS
17,PIT,WIN
18,CIN,WIN
