team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,50.0,43,6,1,2,3,3
ATL,Younghoe Koo,kicking,67.0,48,7,2,3,1,1
BAL,Justin Tucker,kicking,80.0,55,13,4,5,1,1
BUF,Tyler Bass,kicking,100.0,47,8,2,2,2,3
CAR,Eddy Pineiro,kicking,100.0,42,11,3,3,2,2
CHI,Cairo Santos,kicking,100.0,22,4,1,1,1,1
CIN,Evan McPherson,kicking,100.0,47,8,2,2,2,2
CLE,Cade York,kicking,50.0,51,5,1,2,2,2
DAL,Brett Maher,kicking,0.0,0,4,0,1,4,4
DEN,Brandon McManus,kicking,50.0,27,4,1,2,1,1
DET,Michael Badgley,kicking,50.0,51,5,1,2,2,2
GB,Mason Crosby,kicking,100.0,33,9,2,2,3,4
HOU,Ka'imi Fairbairn,kicking,100.0,28,3,1,1,0,0
IND,Chase McLaughlin,kicking,50.0,51,5,1,2,2,2
JAX,Riley Patterson,kicking,100.0,29,8,2,2,2,2
KC,Harrison Butker,kicking,100.0,32,14,4,4,2,2
LAC,Cameron Dicker,kicking,100.0,26,5,1,1,2,2
LAR,Matt Gay,kicking,100.0,47,4,1,1,1,1
LV,Daniel Carlson,kicking,67.0,36,10,2,3,4,4
MIA,Jason Sanders,kicking,100.0,45,12,3,3,3,3
MIN,Greg Joseph,kicking,100.0,36,9,2,2,3,4
NE,Nick Folk,kicking,100.0,46,14,4,4,2,2
NO,Wil Lutz,kicking,0.0,0,0,0,1,0,0
NYG,Graham Gano,kicking,100.0,57,8,2,2,2,2
NYJ,Greg Zuerlein,kicking,50.0,57,7,1,2,4,4
PHI,Jake Elliott,kicking,100.0,54,10,2,2,4,5
PIT,Matthew Wright,kicking,100.0,52,10,3,3,1,1
SEA,Jason Myers,kicking,100.0,34,10,2,2,4,4
SF,Robbie Gould,kicking,100.0,46,7,2,2,1,1
TB,Ryan Succop,kicking,100.0,42,5,1,1,2,2
TEN,Caleb Shudak,kicking,75.0,38,10,3,4,1,1
WSH,Joey Slye,kicking,100.0,45,7,2,2,1,2
