team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,150,50.0,0,0,52
ATL,Bradley Pinion,punting,3,122,40.7,0,1,48
BAL,Jordan Stout,punting,1,53,53.0,1,0,53
BUF,Sam Martin,punting,4,197,49.3,0,2,56
CAR,Johnny Hekker,punting,5,255,51.0,0,4,59
CHI,Trenton Gill,punting,5,244,48.8,0,0,61
CIN,Drue Chrisman,punting,5,259,51.8,0,2,62
CLE,Corey Bojorquez,punting,6,329,54.8,2,1,65
DAL,Bryan Anger,punting,1,51,51.0,0,0,51
DEN,Corliss Waitman,punting,7,367,52.4,0,2,58
DET,Jack Fox,punting,2,103,51.5,0,2,57
GB,Pat O'Donnell,punting,2,83,41.5,0,1,42
HOU,Cameron Johnston,punting,7,350,50.0,0,2,56
IND,Matt Haack,punting,3,150,50.0,0,0,59
JAX,Logan Cooke,punting,3,206,68.7,2,1,70
KC,Tommy Townsend,punting,1,49,49.0,0,1,49
LAC,JK Scott,punting,6,234,39.0,0,4,48
LAR,Riley Dixon,punting,4,180,45.0,0,2,49
LV,AJ Cole,punting,2,91,45.5,0,1,50
MIA,Thomas Morstead,punting,6,296,49.3,1,0,55
MIN,Ryan Wright,punting,3,158,52.7,0,3,59
NE,Michael Palardy,punting,3,123,41.0,0,0,56
NO,Blake Gillikin,punting,4,183,45.8,1,2,57
NYG,Jamie Gillan,punting,4,193,48.3,2,1,49
NYJ,Braden Mann,punting,2,118,59.0,0,1,62
PHI,Arryn Siposs,punting,1,52,52.0,0,1,52
PIT,Pressley Harvin III,punting,4,182,45.5,1,2,54
SEA,Michael Dickson,punting,4,191,47.8,0,2,61
SF,Mitch Wishnowsky,punting,4,175,43.8,0,2,45
TB,Jake Camarda,punting,9,425,47.2,1,1,63
TEN,Ryan Stonehouse,punting,5,269,53.8,2,2,71
WSH,Tress Way,punting,3,127,42.3,0,2,45
