team,player,category,REC,YDS,AVG,TD,LONG,TGTS
DET,Amon-Ra St. Brown,receiving,90,912,9.57,5,37,119
DET,Bobby Price,receiving,1,17,17.0,0,17,1
DET,Brock Wright,receiving,12,117,8.79,2,36,17
DET,Craig Reynolds,receiving,7,52,7.32,0,14,8
DET,D'Andre Swift,receiving,62,452,6.28,2,63,78
DET,Darren Fells,receiving,4,43,8.5,0,24,5
DET,Geronimo Allison,receiving,0,0,0.0,0,0,2
DET,Godwin Igwebuike,receiving,7,60,4.63,0,18,10
DET,Jamaal Williams,receiving,26,157,6.04,0,15,28
DET,Jason Cabinda,receiving,4,16,2.17,1,6,7
DET,Jermar Jefferson,receiving,4,23,2.9,0,11,5
DET,Josh Reynolds,receiving,19,306,14.03,2,39,36
DET,Kalif Raymond,receiving,48,576,9.62,4,75,71
DET,KhaDarel Hodge,receiving,13,157,9.17,0,42,27
DET,Matt Nelson,receiving,0,0,0.0,0,0,1
DET,Quintez Cephus,receiving,15,204,12.26,2,46,22
DET,Shane Zylstra,receiving,3,34,12.5,0,16,7
DET,T.J. Hockenson,receiving,61,583,8.8,4,33,84
DET,Taylor Decker,receiving,2,4,2.0,1,6,2
DET,Tom Kennedy,receiving,6,54,6.33,0,15,10
DET,Trinity Benson,receiving,10,103,8.61,0,24,22
DET,Tyrell Williams,receiving,2,14,7.0,0,7,3
