team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Matt Haack,punting,3,135,45.0,0,0,56
ATL,Bradley Pinion,punting,4,170,42.5,2,2,53
BAL,Jordan Stout,punting,3,135,45.0,1,1,53
BUF,Mitch Wishnowsky,punting,4,162,40.5,0,3,50
CAR,Sam Martin,punting,3,142,47.3,0,2,56
CHI,Tory Taylor,punting,4,171,43.0,0,3,45
CIN,Ryan Rehkow,punting,4,182,45.5,1,2,62
CLE,Corey Bojorquez,punting,7,339,48.4,1,1,61
DAL,Bryan Anger,punting,1,42,42.0,0,0,42
DEN,Jeremy Crawshaw,punting,2,94,47.0,0,2,51
DET,Jack Fox,punting,3,150,50.0,1,1,62
GB,Daniel Whelan,punting,1,57,57.0,1,0,57
HOU,Tommy Townsend,punting,1,43,43.0,0,1,43
IND,Rigoberto Sanchez,punting,5,228,45.6,1,4,59
JAX,Logan Cooke,punting,2,104,52.0,0,0,57
KC,Matt Araiza,punting,4,190,47.5,0,1,57
LAC,JK Scott,punting,4,150,37.5,0,3,48
LAR,Ethan Evans,punting,3,149,49.7,1,0,52
LV,AJ Cole,punting,5,223,44.6,0,0,52
MIA,Jake Bailey,punting,4,194,48.5,1,0,55
MIN,Ryan Wright,punting,2,112,56.0,0,2,65
NE,Bryce Baringer,punting,3,163,54.3,0,1,62
NO,Kai Kroeger,punting,2,95,47.5,0,1,58
NYG,Cameron Johnston,punting,4,182,45.5,0,0,49
NYJ,Austin McNamara,punting,2,57,28.5,0,1,32
PHI,Braden Mann,punting,1,43,43.0,0,0,43
PIT,Corliss Waitman,punting,5,231,46.2,1,2,52
SEA,Michael Dickson,punting,4,193,48.3,0,0,52
TB,Riley Dixon,punting,4,165,41.3,0,2,45
TEN,Johnny Hekker,punting,3,136,45.3,0,1,56
WSH,Tress Way,punting,4,183,45.8,0,3,55
