team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Matt Haack,punting,2,92,46.0,0,0,48
ATL,Bradley Pinion,punting,6,233,38.8,0,5,55
BAL,Jordan Stout,punting,3,149,49.7,1,0,61
BUF,Mitch Wishnowsky,punting,2,99,49.5,1,0,52
CAR,Sam Martin,punting,3,112,37.3,0,2,45
CHI,Tory Taylor,punting,3,127,42.3,0,1,51
CIN,Ryan Rehkow,punting,2,105,52.5,1,1,54
CLE,Corey Bojorquez,punting,4,178,44.5,1,0,49
DAL,Bryan Anger,punting,1,62,62.0,0,0,62
DEN,Jeremy Crawshaw,punting,4,181,45.3,1,1,50
DET,Jack Fox,punting,2,85,42.5,0,1,46
GB,Daniel Whelan,punting,2,134,67.0,1,0,72
HOU,Tommy Townsend,punting,2,96,48.0,0,0,52
IND,Rigoberto Sanchez,punting,4,189,47.3,1,1,55
JAX,Logan Cooke,punting,7,313,44.7,0,1,63
KC,Matt Araiza,punting,5,215,43.0,1,4,59
LAC,JK Scott,punting,2,115,57.5,1,0,58
LAR,Ethan Evans,punting,1,56,56.0,0,0,56
LV,AJ Cole,punting,4,186,46.5,0,2,51
MIA,Jake Bailey,punting,4,201,50.3,0,2,54
MIN,Ryan Wright,punting,5,252,50.4,0,2,60
NE,Bryce Baringer,punting,2,54,27.0,0,1,32
NO,Kai Kroeger,punting,6,293,48.8,1,3,60
NYG,Jamie Gillan,punting,4,199,49.8,0,0,54
NYJ,Austin McNamara,punting,6,296,49.3,0,3,55
PHI,Braden Mann,punting,5,245,49.0,1,1,63
PIT,Corliss Waitman,punting,4,161,40.3,0,2,51
SEA,Michael Dickson,punting,4,203,50.8,1,2,56
SF,Thomas Morstead,punting,5,178,35.6,0,3,42
TB,Riley Dixon,punting,5,240,48.0,0,3,59
TEN,Johnny Hekker,punting,5,232,46.4,1,0,57
WSH,Tress Way,punting,4,169,42.3,0,2,56
