team,player,category,INT,YDS,TD
BUF,Christian Benford,interceptions,1,0,0
CAR,Nick Scott,interceptions,1,0,0
CAR,Mike Jackson,interceptions,1,48,1
CHI,Kevin Byard,interceptions,1,0,0
CIN,Demetrius Knight Jr.,interceptions,1,39,0
DEN,Dre Greenlaw,interceptions,1,27,0
IND,Cam Bynum,interceptions,1,0,0
KC,Jaylen Watson,interceptions,1,14,0
LAC,Tony Jefferson,interceptions,1,0,0
LV,Kyu Blu Kelly,interceptions,1,0,0
MIA,Rasul Douglas,interceptions,1,38,0
NO,Kool-Aid McKinstry,interceptions,1,0,0
PHI,Jalyx Hunt,interceptions,1,11,0
PIT,Brandin Echols,interceptions,1,0,0
SEA,Ernest Jones IV,interceptions,2,91,1
SEA,Riq Woolen,interceptions,1,30,0
SEA,Coby Bryant,interceptions,1,0,0
TB,Antoine Winfield Jr.,interceptions,1,5,0
WSH,Bobby Wagner,interceptions,1,6,0
