week,opponent,result
1,LAR,LOSS
2,TB,LOSS
3,JAX,LOSS
4,TEN,WIN
5,BAL,WIN
6,BYE,BYE
7,SEA,LOSS
8,SF,WIN
9,DEN,LOSS
10,JAX,WIN
11,TEN,WIN
12,BUF,WIN
13,IND,WIN
14,KC,WIN
15,ARI,WIN
16,LV,WIN
17,LAC,WIN
18,IND,WIN
