team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,6,313,52.2,1,1,77
ATL,Bradley Pinion,punting,3,134,44.7,0,2,51
BAL,Jordan Stout,punting,3,130,43.3,0,2,56
BUF,Sam Martin,punting,4,209,52.3,0,3,58
CAR,Johnny Hekker,punting,3,151,50.3,0,1,56
CHI,Trenton Gill,punting,5,260,52.0,1,2,76
CIN,Brad Robbins,punting,3,132,44.0,0,2,51
CLE,Corey Bojorquez,punting,3,148,49.3,0,0,55
DAL,Bryan Anger,punting,3,178,59.3,0,0,61
DEN,Riley Dixon,punting,7,301,43.0,0,2,47
DET,Jack Fox,punting,3,143,47.7,0,2,57
GB,Daniel Whelan,punting,3,142,47.3,0,0,54
HOU,Cameron Johnston,punting,6,266,44.3,0,4,56
IND,Rigoberto Sanchez,punting,4,193,48.3,0,2,55
JAX,Logan Cooke,punting,1,65,65.0,0,0,65
KC,Tommy Townsend,punting,4,167,41.8,0,1,57
LAC,JK Scott,punting,4,200,50.0,0,1,57
LAR,Ethan Evans,punting,2,46,23.0,0,0,38
LV,AJ Cole,punting,6,271,45.2,0,3,50
MIA,Jake Bailey,punting,2,111,55.5,0,1,58
MIN,Ryan Wright,punting,2,100,50.0,0,1,50
NE,Bryce Baringer,punting,7,319,45.6,0,3,53
NO,Lou Hedley,punting,2,71,35.5,0,1,39
NYG,Jamie Gillan,punting,4,158,39.5,0,1,44
NYJ,Thomas Morstead,punting,6,292,48.7,1,2,54
PHI,Braden Mann,punting,2,108,54.0,0,0,54
PIT,Pressley Harvin III,punting,5,194,38.8,0,1,42
SEA,Michael Dickson,punting,3,134,44.7,0,2,63
SF,Mitch Wishnowsky,punting,2,112,56.0,0,1,57
TB,Jake Camarda,punting,2,101,50.5,0,1,51
TEN,Ty Zentner,punting,3,117,39.0,0,2,47
WSH,Tress Way,punting,7,294,42.0,0,3,49
