team,player,category,CAR,YDS,AVG,TD,LONG
NO,Adam Prentice,rushing,3,5,1.67,0,2
NO,Alex Armah,rushing,5,21,3.75,0,9
NO,Alvin Kamara,rushing,240,898,3.42,4,30
NO,Deonte Harty,rushing,5,41,8.2,0,22
NO,Devine Ozigbo,rushing,1,-3,-3.0,0,-3
NO,Dwayne Washington,rushing,4,16,4.0,0,5
NO,Ian Book,rushing,3,6,2.0,0,3
NO,Jameis Winston,rushing,32,166,5.43,1,20
NO,Kenny Stills,rushing,1,1,1.0,0,1
NO,Mark Ingram II,rushing,68,260,3.77,1,28
NO,Taysom Hill,rushing,70,374,5.13,5,44
NO,Tony Jones Jr.,rushing,54,142,2.37,0,11
NO,Trevor Siemian,rushing,9,20,2.38,1,17
NO,Ty Montgomery II,rushing,15,44,2.18,0,9
