team,player,category,INT,YDS,TD
ARI,Robert Alford,interceptions,1,23,0
BAL,DeShon Elliott,interceptions,1,0,0
BUF,Jordan Poyer,interceptions,1,17,0
CIN,Logan Wilson,interceptions,1,0,0
DAL,Trevon Diggs,interceptions,1,42,1
DET,Amani Oruwariye,interceptions,1,18,0
GB,Darnell Savage,interceptions,1,0,0
IND,Isaiah Rodgers,interceptions,1,12,0
IND,Shaquille Leonard,interceptions,1,4,0
JAX,Nevin Lawson,interceptions,1,11,0
KC,Tershawn Wharton,interceptions,1,0,0
LAC,Kyzir White,interceptions,2,22,0
LAR,Robert Rochell,interceptions,1,1,0
LAR,Taylor Rapp,interceptions,2,31,0
LV,Johnathan Abram,interceptions,1,6,0
LV,Tre'von Moehrig,interceptions,1,35,0
LV,Brandon Facyson,interceptions,1,0,0
MIN,Bashaud Breeland,interceptions,1,8,0
NE,Kyle Dugger,interceptions,1,29,0
NYG,Xavier McKinney,interceptions,2,23,0
PHI,Darius Slay,interceptions,0,4,0
PHI,Anthony Harris,interceptions,1,2,0
TB,Jamel Dean,interceptions,1,0,0
TEN,Kevin Byard,interceptions,1,16,0
WSH,Bobby McCain,interceptions,1,5,0
WSH,Kendall Fuller,interceptions,1,0,0
