team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,2,101,50.5,0,0,57
BAL,Sam Koch,punting,2,86,43.0,0,1,53
BUF,Matt Haack,punting,2,93,46.5,0,0,53
CAR,Ryan Winslow,punting,6,244,40.7,0,3,44
CHI,Pat O'Donnell,punting,4,161,40.3,0,3,48
CIN,Kevin Huber,punting,3,163,54.3,0,1,58
CLE,Jamie Gillan,punting,2,106,53.0,0,0,54
DAL,Bryan Anger,punting,1,51,51.0,0,0,51
DEN,Sam Martin,punting,4,164,41.0,0,2,47
DET,Jack Fox,punting,6,333,55.5,1,1,64
GB,Corey Bojorquez,punting,3,168,56.0,1,0,82
HOU,Cameron Johnston,punting,5,212,42.4,0,4,55
IND,Rigoberto Sanchez,punting,5,217,43.4,0,2,50
JAX,Logan Cooke,punting,4,152,38.0,0,1,45
KC,Tommy Townsend,punting,2,53,26.5,0,1,34
LAC,Ty Long,punting,5,262,52.4,1,1,69
LAR,Johnny Hekker,punting,4,160,40.0,0,4,52
LV,AJ Cole,punting,4,228,57.0,2,2,71
MIA,Michael Palardy,punting,4,158,39.5,1,2,59
MIN,Jordan Berry,punting,4,188,47.0,0,2,54
NE,Jake Bailey,punting,4,161,40.3,0,2,44
NYG,Riley Dixon,punting,4,210,52.5,0,0,63
PHI,Arryn Siposs,punting,5,220,44.0,0,0,55
PIT,Pressley Harvin III,punting,7,335,47.9,1,4,58
SEA,Michael Dickson,punting,8,364,45.5,2,1,65
TB,Bradley Pinion,punting,3,127,42.3,0,2,44
TEN,Johnny Townsend,punting,2,107,53.5,0,0,63
WSH,Tress Way,punting,4,232,58.0,0,2,66
