team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,229,7.6,4,0,2,20,30
BAL,Lamar Jackson,passing,167,6.2,1,2,3,19,27
BUF,Josh Allen,passing,353,7.5,3,1,3,35,47
CAR,Sam Darnold,passing,207,5.0,1,1,4,17,41
CHI,Justin Fields,passing,174,6.4,1,1,4,16,27
CIN,Joe Burrow,passing,271,9.3,3,1,2,19,29
CIN,Brandon Allen,passing,7,7.0,1,0,0,1,1
CLE,Case Keenum,passing,6,2.0,0,0,0,1,3
CLE,Baker Mayfield,passing,234,8.4,2,1,5,19,28
DAL,Dak Prescott,passing,445,8.7,3,1,0,36,51
DEN,Teddy Bridgewater,passing,334,6.8,3,3,5,35,49
DET,Jared Goff,passing,202,4.8,0,1,1,28,42
GB,Aaron Rodgers,passing,195,8.5,2,0,3,17,23
HOU,Davis Mills,passing,243,5.7,0,2,2,29,43
IND,Carson Wentz,passing,223,11.2,2,0,2,11,20
JAX,Trevor Lawrence,passing,319,7.8,1,0,2,25,41
KC,Patrick Mahomes,passing,397,8.4,2,2,3,32,47
LAC,Justin Herbert,passing,195,5.0,1,1,2,22,39
LAR,Matthew Stafford,passing,251,9.0,4,1,2,22,28
LAR,John Wolford,passing,0,0.0,0,1,0,0,2
LV,Derek Carr,passing,341,12.6,2,0,2,18,27
MIA,Jacoby Brissett,passing,25,25.0,0,0,0,1,1
MIA,Tua Tagovailoa,passing,329,7.0,2,1,0,33,47
MIN,Kirk Cousins,passing,373,7.8,3,0,0,33,48
NE,Mac Jones,passing,229,10.9,2,1,2,15,21
NYG,Daniel Jones,passing,242,4.7,0,3,4,29,51
PHI,Jalen Hurts,passing,115,4.4,1,1,2,12,26
PIT,Ben Roethlisberger,passing,229,5.7,1,0,1,29,40
SEA,Geno Smith,passing,209,6.5,1,0,5,23,32
TB,Tom Brady,passing,297,7.1,2,1,0,34,42
TEN,Ryan Tannehill,passing,216,7.4,0,1,0,18,29
WSH,Taylor Heinicke,passing,182,4.7,1,1,0,24,39
