team,player,category,INT,YDS,TD
NE,Adrian Phillips,interceptions,4,39,1
NE,Devin McCourty,interceptions,3,22,0
NE,J.C. Jackson,interceptions,8,92,1
NE,Jamie Collins Sr.,interceptions,1,1,0
NE,Jonathan Jones,interceptions,1,0,0
NE,Kyle Dugger,interceptions,4,100,0
NE,Kyle Van Noy,interceptions,1,35,1
NE,Myles Bryant,interceptions,1,33,0
