team,player,category,CAR,YDS,AVG,TD,LONG
NE,Brandon Bolden,rushing,44,226,4.11,1,24
NE,Brian Hoyer,rushing,11,-8,-0.7,0,2
NE,Damien Harris,rushing,202,929,4.37,15,64
NE,Gunner Olszewski,rushing,1,9,9.0,0,9
NE,J.J. Taylor,rushing,19,37,1.52,2,15
NE,Jakobi Meyers,rushing,1,9,9.0,0,9
NE,James White,rushing,10,38,4.33,1,10
NE,Jonnu Smith,rushing,9,40,4.44,0,9
NE,Kendrick Bourne,rushing,12,125,9.79,0,18
NE,Mac Jones,rushing,44,129,3.24,0,13
NE,Nelson Agholor,rushing,3,11,3.67,0,6
NE,Rhamondre Stevenson,rushing,133,606,4.59,5,21
