team,player,category,INT,YDS,TD
ATL,A.J. Terrell Jr.,interceptions,1,0,0
ATL,Mykal Walker,interceptions,1,66,1
BAL,Anthony Averett,interceptions,1,21,0
DAL,Randy Gregory,interceptions,1,12,0
DEN,Justin Simmons,interceptions,1,0,0
GB,Chandon Sullivan,interceptions,1,1,0
GB,Rasul Douglas,interceptions,1,55,1
KC,Tyrann Mathieu,interceptions,1,6,0
LAC,Nick Niemann,interceptions,1,0,0
LAR,Leonard Floyd,interceptions,1,11,0
LAR,Ernest Jones IV,interceptions,1,31,0
MIN,Bashaud Breeland,interceptions,1,18,0
PIT,Ahkello Witherspoon,interceptions,2,45,0
TB,Richard Sherman,interceptions,1,0,0
TEN,Kristian Fulton,interceptions,1,0,0
TEN,Rashaan Evans,interceptions,1,1,0
TEN,Jayon Brown,interceptions,1,2,0
TEN,Buster Skrine,interceptions,1,17,0
WSH,Landon Collins,interceptions,1,3,0
WSH,Cole Holcomb,interceptions,1,31,1
