team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,383,7.8,0,2,4,32,49
ATL,Matt Ryan,passing,190,6.8,1,0,0,19,28
BAL,Tyler Huntley,passing,270,7.1,1,0,3,27,38
BAL,Lamar Jackson,passing,17,4.3,0,0,1,4,4
BUF,Josh Allen,passing,308,5.7,2,1,3,36,54
CAR,PJ Walker,passing,75,6.3,1,1,0,6,12
CAR,Cam Newton,passing,178,7.7,0,1,1,15,23
CHI,Justin Fields,passing,224,6.8,2,2,2,18,33
CIN,Joe Burrow,passing,348,10.2,2,0,5,25,34
CLE,Baker Mayfield,passing,190,5.9,2,1,0,22,32
DAL,Dak Prescott,passing,211,5.4,1,2,4,22,39
DEN,Teddy Bridgewater,passing,179,7.2,2,0,1,18,25
DET,Jared Goff,passing,215,5.5,1,1,2,24,39
GB,Aaron Rodgers,passing,341,9.2,4,0,3,29,37
HOU,Davis Mills,passing,331,6.8,1,0,2,33,49
JAX,Trevor Lawrence,passing,221,5.5,0,4,3,24,40
KC,Patrick Mahomes,passing,258,10.8,2,0,3,20,24
LAC,Justin Herbert,passing,275,8.9,3,0,2,23,31
LAR,Matthew Stafford,passing,287,9.6,3,0,3,23,30
LV,Derek Carr,passing,263,5.8,1,1,4,33,45
MIN,Kirk Cousins,passing,216,7.0,2,2,0,14,31
NO,Taysom Hill,passing,175,8.3,0,0,3,15,21
NYG,Mike Glennon,passing,191,5.3,2,1,2,17,36
NYG,Riley Dixon,passing,0,0.0,0,0,0,0,1
NYJ,Zach Wilson,passing,202,4.8,0,0,3,19,42
PIT,Ben Roethlisberger,passing,308,7.7,3,1,5,28,40
SEA,Russell Wilson,passing,260,9.3,2,0,0,17,28
SF,Jimmy Garoppolo,passing,296,7.2,2,0,5,27,41
TB,Tom Brady,passing,363,7.9,2,0,2,31,46
TEN,Ryan Tannehill,passing,191,6.2,0,0,4,20,31
WSH,Kyle Allen,passing,53,5.9,0,0,1,4,9
WSH,Taylor Heinicke,passing,122,4.9,1,1,4,11,25
