team,player,category,INT,YDS,TD
ATL,Foyesade Oluokun,interceptions,1,6,0
BUF,Micah Hyde,interceptions,2,22,0
CIN,Vonn Bell,interceptions,1,15,0
DAL,Trevon Diggs,interceptions,1,0,0
DAL,DeMarcus Lawrence,interceptions,1,40,1
DEN,Bradley Chubb,interceptions,1,21,0
GB,Rasul Douglas,interceptions,2,17,0
GB,Chandon Sullivan,interceptions,1,13,0
GB,Darnell Savage,interceptions,1,0,0
HOU,Jonathan Owens,interceptions,1,7,0
HOU,Tavierre Thomas,interceptions,1,48,1
KC,Charvarius Ward,interceptions,1,0,0
LAR,Travin Howard,interceptions,1,19,0
MIA,Nik Needham,interceptions,1,28,1
MIA,Brandon Jones,interceptions,1,8,0
MIN,Anthony Barr,interceptions,2,11,0
MIN,Xavier Woods,interceptions,1,15,0
NO,Marshon Lattimore,interceptions,1,0,0
PHI,Alex Singleton,interceptions,1,29,1
PHI,Rodney McLeod Jr.,interceptions,1,24,0
TB,Jordan Whitehead,interceptions,1,7,0
TEN,Janoris Jenkins,interceptions,1,0,0
TEN,Amani Hooker,interceptions,1,21,0
