team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Ryan Winslow,punting,1,39,39.0,0,0,39
ATL,Thomas Morstead,punting,2,115,57.5,0,1,61
BAL,Sam Koch,punting,3,133,44.3,0,1,47
CAR,Lachlan Edwards,punting,5,253,50.6,0,1,60
CHI,Pat O'Donnell,punting,3,135,45.0,1,0,64
CLE,Dustin Colquitt,punting,1,37,37.0,0,0,37
DAL,Bryan Anger,punting,4,214,53.5,0,1,62
DEN,Sam Martin,punting,5,223,44.6,0,3,56
DET,Jack Fox,punting,2,109,54.5,0,1,57
GB,Corey Bojorquez,punting,5,235,47.0,0,1,56
HOU,Cameron Johnston,punting,1,53,53.0,0,0,53
IND,Rigoberto Sanchez,punting,3,115,38.3,0,2,44
JAX,Logan Cooke,punting,1,59,59.0,0,0,59
KC,Johnny Townsend,punting,2,91,45.5,0,0,50
LAR,Johnny Hekker,punting,2,108,54.0,0,1,55
LV,AJ Cole,punting,2,85,42.5,0,2,47
MIA,Michael Palardy,punting,6,255,42.5,0,3,47
MIN,Jordan Berry,punting,5,226,45.2,0,2,63
NE,Jake Bailey,punting,3,158,52.7,0,0,63
NO,Blake Gillikin,punting,7,316,45.1,0,2,54
NYG,Riley Dixon,punting,8,294,36.8,1,3,48
NYJ,Braden Mann,punting,1,55,55.0,0,1,55
PHI,Arryn Siposs,punting,4,170,42.5,0,0,51
PIT,Corliss Waitman,punting,2,121,60.5,1,0,63
SEA,Michael Dickson,punting,4,148,37.0,1,1,41
SF,Mitch Wishnowsky,punting,2,70,35.0,0,1,40
TB,Sterling Hofrichter,punting,3,123,41.0,0,1,45
TEN,Brett Kern,punting,5,230,46.0,1,2,59
WSH,Tress Way,punting,6,308,51.3,1,3,56
