team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,33.0,28,4,1,3,1,2
ATL,Younghoe Koo,kicking,100.0,53,8,2,2,2,2
BAL,Justin Tucker,kicking,0.0,0,3,0,0,3,3
BUF,Tyler Bass,kicking,100.0,34,9,2,2,3,3
CAR,Lirim Hajrullahu,kicking,100.0,29,6,2,2,0,0
CHI,Cairo Santos,kicking,100.0,35,5,1,1,2,2
CIN,Evan McPherson,kicking,67.0,36,11,2,3,5,5
CLE,Chris Naggar,kicking,100.0,37,4,1,1,1,2
DAL,Greg Zuerlein,kicking,0.0,0,8,0,0,8,8
DEN,Brandon McManus,kicking,67.0,55,7,2,3,1,1
DET,Riley Patterson,kicking,100.0,37,10,3,3,1,1
GB,Mason Crosby,kicking,100.0,32,6,1,1,3,3
HOU,Dominik Eberle,kicking,67.0,51,11,2,3,5,5
IND,Michael Badgley,kicking,67.0,41,8,2,3,2,2
JAX,Matthew Wright,kicking,100.0,45,9,3,3,0,0
KC,Elliott Fry,kicking,75.0,44,12,3,4,3,4
LAC,Dustin Hopkins,kicking,100.0,50,9,3,3,0,0
LAR,Matt Gay,kicking,100.0,32,12,3,3,3,3
LV,Daniel Carlson,kicking,100.0,41,5,1,1,2,2
MIA,Jason Sanders,kicking,67.0,48,8,2,3,2,2
MIN,Greg Joseph,kicking,100.0,44,11,3,3,2,2
NE,Nick Folk,kicking,0.0,0,3,0,0,3,3
NO,Brett Maher,kicking,100.0,38,3,1,1,0,0
NYG,Graham Gano,kicking,100.0,54,4,1,1,1,1
NYJ,Eddy Pineiro,kicking,100.0,42,8,2,2,2,3
PHI,Jake Elliott,kicking,67.0,37,10,2,3,4,4
PIT,Chris Boswell,kicking,50.0,34,4,1,2,1,1
SEA,Jason Myers,kicking,50.0,36,6,1,2,3,3
SF,Robbie Gould,kicking,100.0,48,5,1,1,2,2
TB,Ryan Succop,kicking,100.0,48,14,4,4,2,2
TEN,Randy Bullock,kicking,100.0,44,8,2,2,2,2
WSH,Joey Slye,kicking,0.0,0,2,0,0,2,2
